SCF steps;Enthalpy (Ry);Volume (Ang^3);Density (g/cm^3);SCF Interations;CPU Time (h)
114;-3840.3607082588;1925.93827;2.92116;26;12.5
115;-3840.4117276572;1923.28863;2.92518;26;12.0
116;-3840.4635448619;1922.23483;2.92679;25;11.4
117;-3840.5296611702;1922.13703;2.92694;27;12.2
118;-3840.5998250066;1924.63132;2.92314;24;10.5
119;-3840.6732523067;1924.74541;2.92297;21;9.8
120;-3840.7559964944;1925.40483;2.92197;25;10.3
121;-3840.8376901286;1921.49638;2.92791;23;10.6
122;-3840.9109447979;1916.95276;2.93485;22;9.9
123;-3840.9870997210;1913.48924;2.94016;22;10.0
124;-3841.0320025645;1913.09761;2.94077;23;9.7
125;-3841.0914015349;1914.87710;2.93803;21;9.9
126;-3841.1305449904;1917.98321;2.93327;22;9.5
127;-3841.1631919641;1918.45272;2.93256;23;10.2
128;-3841.1807393949;1918.81489;2.93200;21;8.3
129;-3841.2029080643;1918.04048;2.93319;22;9.4
130;-3841.2180853688;1917.03368;2.93473;23;9.1
131;-3841.2330240932;1916.41905;2.93567;23;9.5
132;-3841.2477765012;1915.59305;2.93693;24;9.6
133;-3841.2611996730;1915.91692;2.93644;23;9.8
134;-3841.2735055623;1915.54892;2.93700;23;9.1
135;-3841.2850710342;1915.67941;2.93680;23;8.8
136;-3841.2964966827;1915.33576;2.93733;22;8.0
137;-3841.3076572379;1914.79691;2.93816;23;8.4
138;-3841.3184553467;1914.28907;2.93894;23;8.4
139;-3841.3290632381;1913.78779;2.93970;23;8.7
140;-3841.3392758161;1913.67375;2.93988;23;8.7
141;-3841.3484071549;1913.65560;2.93991;22;8.6
142;-3841.3565811385;1913.77326;2.93973;23;8.9
143;-3841.3643364553;1913.74473;2.93977;23;8.7
144;-3841.3718373736;1913.60401;2.93999;21;8.1
145;-3841.3791532944;1913.33857;2.94040;23;8.3
146;-3841.3862985537;1913.08675;2.94078;25;8.9
147;-3841.3930371627;1913.02863;2.94087;23;8.5
148;-3841.3991868203;1913.10759;2.94075;23;8.2
149;-3841.4048961098;1913.39051;2.94032;23;8.1
150;-3841.4103429046;1913.62532;2.93995;26;11.7
151;-3841.4158591261;1913.86158;2.93959;21;7.3
47;-3831.0634553894;2001.26103;2.81121;54;17.0
48;-3831.4297796243;1987.80246;2.83025;30;11.0
49;-3831.8453486620;1976.16297;2.84692;26;9.6
