Name;Ligand;MolDock Score;Rerank Score;HBond
[00]lactobionic_acid;lactobionic_acid;-101.924;-27.8792;0
[00]UNK0-GLU1;UNK0-GLU1;-92.3383;-38.285;0
[00]maltitol;maltitol;-91.6621;-32.5832;0
[00]alitame;alitame;-88.4197;-41.0923;0
[00]UNK1-GLY2;UNK1-GLY2;-88.1196;-41.1879;0
[01]lactose;lactose;-86.0153;-31.4464;0
[00]EDTA;EDTA;-83.501;-32.4785;0
[00]riboflavin;riboflavin;-81.3964;-25.8664;0
[00]co-former-valsartan_PM7.out;co-former-valsartan_PM7.out;-78.0293;-16.0404;0
[01]drug-sacubitril_PM7.out;drug-sacubitril_PM7.out;-75.3523;-35.5091;0
[03]capsaicin;capsaicin;-73.5421;-33.1235;0
[00]pamoic_acid;pamoic_acid;-70.4625;-30.9237;0
[00]biotin;biotin;-65.8002;-35.9823;0
[01]D-glucuronic_acid;D-glucuronic_acid;-65.286;-26.6717;0
[00]hesperetin;hesperetin;-62.8416;-29.2199;0
[00]mannitol;mannitol;-60.1171;-25.8977;0
[00]cholic_acid;cholic_acid;-60.1164;-23.3426;0
[00]L-tryptophan;L-tryptophan;-59.4222;-26.4971;0
[00]monobutyrin;monobutyrin;-56.859;-29.4622;0
[00]L-arginine;L-arginine;-56.739;-30.9669;0
[00]azelaic_acid;azelaic_acid;-55.7328;-31.934;0
[00]suberic_acid;suberic_acid;-55.4397;-32.2604;0
[00]1-hydroxyethylidene-11-diphosphonic_acid;1-hydroxyethylidene-1,1-diphosphonic_acid;-53.9392;-23.6667;0
[00]apigenin;apigenin;-53.8896;-27.1164;0
[00]pimelic_acid;pimelic_acid;-52.3044;-30.4807;0
[00]D-pantothenol;D-pantothenol;-52.0471;-29.4646;0
[00]thymidine;thymidine;-51.8553;-28.737;0
[00]L-glutamic_acid_z;L-glutamic_acid_z;-51.5331;-29.3979;0
[00]L-tartaric_acid;L-tartaric_acid;-51.4911;-23.4012;0
[00]L-tyrosine;L-tyrosine;-50.9049;-25.7633;0
[00]L-glutamic_acid;L-glutamic_acid;-50.8011;-29.1856;0
[00]citric_acid;citric_acid;-50.7341;-25.2372;0
[00]L-glutamine;L-glutamine;-50.0954;-27.7547;0
[00]hippuric_acid;hippuric_acid;-49.3068;-26.6972;0
[00]adipic_acid;adipic_acid;-47.728;-28.4181;0
[00]glutaric_acid;glutaric_acid;-47.0196;-27.953;0
[00]ketoglutaric_acid;ketoglutaric_acid;-46.7657;-26.5821;0
[00]xanthine;xanthine;-46.0273;-25.3669;0
[00]L-aspartic_acid;L-aspartic_acid;-45.9906;-24.8278;0
[00]L-aspartic_acid_z;L-aspartic_acid_z;-45.7361;-24.5561;0
[00]L-phenylalanine;L-phenylalanine;-45.2712;-22.7463;0
[00]malic_acid;malic_acid;-45.1006;-24.2769;0
[00]acetylenedicarboxylic_acid;acetylenedicarboxylic_acid;-44.3017;-25.6698;0
[00]theophylline;theophylline;-44.07;-26.2536;0
[00]propylparaben;propylparaben;-43.9051;-25.0977;0
[00]L-leucine;L-leucine;-43.6004;-22.4951;0
[00]L-methionine;L-methionine;-43.4216;-23.4012;0
[00]saccharin;saccharin;-42.8287;-22.9532;0
[00]acesulfame;acesulfame;-40.4038;-23.9397;0
[01]hydrocinnamic_acid;hydrocinnamic_acid;-40.3507;-23.0874;0
[00]4-acetamidobenzoic_acid;4-acetamidobenzoic_acid;-39.5056;-24.3191;0
[00]L-serine;L-serine;-39.2705;-20.6496;0
[00]gentisic_acid;gentisic_acid;-39.2699;-22.4222;0
[00]sorbic_acid;sorbic_acid;-39.0455;-21.5622;0
[00]2-amino-5-methylbenzoic_acid;2-amino-5-methylbenzoic_acid;-39.0195;-22.0085;0
[00]ethylparaben;ethylparaben;-38.3116;-22.4649;0
[00]maleic_acid;maleic_acid;-37.906;-19.7374;0
[00]L-mandelic_acid;L-mandelic_acid;-37.7461;-20.935;0
[01]succinic_acid;succinic_acid;-37.6596;-22.2432;0
[00]L-proline;L-proline;-37.4391;-20.6148;0
[02]oxalic_acid;oxalic_acid;-37.2016;-19.0912;0
[00](-)-camphorsulfonic_acid;(-)-camphorsulfonic_acid;-36.6363;-20.9373;0
[00]fumaric_acid;fumaric_acid;-36.4105;-22.6122;0
[00]t-butylhydroxyanisole;t-butylhydroxyanisole;-35.1257;-20.1713;0
[00]malonic_acid;malonic_acid;-34.2146;-20.2778;0
[00]4-aminobenzoic_acid;4-aminobenzoic_acid;-32.5891;-19.0828;0
[00]4-hydroxybenzoic_acid;4-hydroxybenzoic_acid;-32.3838;-18.8618;0
[00]L-lactic_acid;L-lactic_acid;-32.3243;-18.3155;0
[01]methylparaben;methylparaben;-31.9459;-19.2744;0
[00]D-alanine;D-alanine;-31.9132;-18.0378;0
[01]phthalamide;phthalamide;-31.7717;-11.8242;0
[00]glycolic_acid;glycolic_acid;-31.736;-16.9539;0
[01]glycine;glycine;-31.6212;-17.0839;0
[00]triphenylacetic_acid;triphenylacetic_acid;-30.8831;-1.96329;0
[00](+)-camphoric_acid;(+)-camphoric_acid;-29.8889;-17.9979;0
[02]nicotinamide;nicotinamide;-28.2263;-17.7609;0
[00]N-ethylacetamide;N-ethylacetamide;-27.9617;-17.2892;0
[00]isonicotinamide;isonicotinamide;-27.895;-17.2838;0
[03]valerolactam;valerolactam;-27.5057;-17.5564;0
[02]caprolactam;caprolactam;-27.203;-17.3529;0
[00]benzoic_acid;benzoic_acid;-26.4995;-16.5809;0
[01]imidazole;imidazole;-26.1946;-15.7691;0
[00]acetophenone_oxime;acetophenone_oxime;-25.3387;-15.7003;0
[04]urea;urea;-25.0064;-15.0573;0
[00]methanesulfonic_acid;methanesulfonic_acid;-24.1124;-14.5157;0
[02]t-butylamine;t-butylamine;-23.2237;-13.9807;0
[00]acetic_acid;acetic_acid;-23.1143;-13.9148;0
[02]3-methylpyridine;3-methylpyridine;-23.0653;-14.0684;0
[00]piperazine;piperazine;-22.3406;-15.0788;0
[02]pyrazine;pyrazine;-16.7132;-10.5247;0
